# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Delhi, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
873da1035ffffff,28.48839,77.13421,8,126.2
873da1035ffffff,28.48839,77.13421,9,138.6
873da1035ffffff,28.48839,77.13421,10,184.4
873da1035ffffff,28.48839,77.13421,11,189.6
873da1035ffffff,28.48839,77.13421,12,207.6
873da1035ffffff,28.48839,77.13421,13,151.1
873da1035ffffff,28.48839,77.13421,14,146.2
873da1035ffffff,28.48839,77.13421,15,145.9
873da1035ffffff,28.48839,77.13421,16,222.1
873da1035ffffff,28.48839,77.13421,17,250.3
873da1035ffffff,28.48839,77.13421,18,130.3
873da1035ffffff,28.48839,77.13421,19,100.3
873da1035ffffff,28.48839,77.13421,20,126.8
873da1035ffffff,28.48839,77.13421,21,158.7
873da1035ffffff,28.48839,77.13421,22,197.8
873da1035ffffff,28.48839,77.13421,23,185.2
873da1035ffffff,28.48839,77.13421,24,203.2
873da1035ffffff,28.48839,77.13421,25,160.1
873da1035ffffff,28.48839,77.13421,26,848.6
873da1035ffffff,28.48839,77.13421,27,843.7
873da1035ffffff,28.48839,77.13421,28,894.8
873da1035ffffff,28.48839,77.13421,29,530.9
873da1035ffffff,28.48839,77.13421,30,149.1
873da1035ffffff,28.48839,77.13421,31,269.0
873da1035ffffff,28.48839,77.13421,32,130.1
873da1035ffffff,28.48839,77.13421,33,165.1
873da1035ffffff,28.48839,77.13421,34,190.9
873da1035ffffff,28.48839,77.13421,35,210.2
873da1035ffffff,28.48839,77.13421,36,202.5
873da1035ffffff,28.48839,77.13421,37,172.7
873da1035ffffff,28.48839,77.13421,38,671.3
873da1035ffffff,28.48839,77.13421,39,798.9
873da1035ffffff,28.48839,77.13421,40,1050.4
873da1035ffffff,28.48839,77.13421,41,622.1
873da1036ffffff,28.45767,77.10714,0,205.6
873da1036ffffff,28.45767,77.10714,1,169.2
873da1036ffffff,28.45767,77.10714,2,158.1
873da1036ffffff,28.45767,77.10714,3,130.9
873da1036ffffff,28.45767,77.10714,4,140.5
873da1036ffffff,28.45767,77.10714,5,125.9
873da1036ffffff,28.45767,77.10714,6,111.0
873da1036ffffff,28.45767,77.10714,7,154.4
873da1036ffffff,28.45767,77.10714,8,126.2
873da1036ffffff,28.45767,77.10714,9,138.6
873da1036ffffff,28.45767,77.10714,10,184.4
873da1036ffffff,28.45767,77.10714,11,189.6
873da1036ffffff,28.45767,77.10714,12,207.6
873da1036ffffff,28.45767,77.10714,13,151.1
873da1036ffffff,28.45767,77.10714,14,146.2
873da1036ffffff,28.45767,77.10714,15,145.9
873da1036ffffff,28.45767,77.10714,16,222.1
873da1036ffffff,28.45767,77.10714,17,250.3
873da1036ffffff,28.45767,77.10714,18,130.3
873da1036ffffff,28.45767,77.10714,19,100.3
873da1036ffffff,28.45767,77.10714,20,126.8
873da1036ffffff,28.45767,77.10714,21,158.7
873da1036ffffff,28.45767,77.10714,22,197.8
873da1036ffffff,28.45767,77.10714,23,185.2
873da1036ffffff,28.45767,77.10714,24,203.2
873da1036ffffff,28.45767,77.10714,25,160.1
873da1036ffffff,28.45767,77.10714,26,848.6
873da1036ffffff,28.45767,77.10714,27,843.7
873da1036ffffff,28.45767,77.10714,28,894.8
873da1036ffffff,28.45767,77.10714,29,530.9
873da1036ffffff,28.45767,77.10714,30,149.1
873da1036ffffff,28.45767,77.10714,31,269.0
873da1036ffffff,28.45767,77.10714,32,130.1
873da1036ffffff,28.45767,77.10714,33,165.1
873da1036ffffff,28.45767,77.10714,34,190.9
873da1036ffffff,28.45767,77.10714,35,210.2
873da1036ffffff,28.45767,77.10714,36,202.5
873da1036ffffff,28.45767,77.10714,37,172.7
873da1036ffffff,28.45767,77.10714,38,671.3
873da1036ffffff,28.45767,77.10714,39,798.9
873da1036ffffff,28.45767,77.10714,40,1050.4
873da1036ffffff,28.45767,77.10714,41,622.1
873da1044ffffff,28.54741,77.34667,0,205.6
873da1044ffffff,28.54741,77.34667,1,169.2
873da1044ffffff,28.54741,77.34667,2,158.1
873da1044ffffff,28.54741,77.34667,3,130.9
873da1044ffffff,28.54741,77.34667,4,140.5
873da1044ffffff,28.54741,77.34667,5,125.9
873da1044ffffff,28.54741,77.34667,6,111.0
873da1044ffffff,28.54741,77.34667,7,154.4
873da1044ffffff,28.54741,77.34667,8,126.2
873da1044ffffff,28.54741,77.34667,9,138.6
873da1044ffffff,28.54741,77.34667,10,184.4
873da1044ffffff,28.54741,77.34667,11,189.6
