# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Ahmedabad, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
8742cea28ffffff,22.96004,72.50972,10,133.2
8742cea28ffffff,22.96004,72.50972,11,113.1
8742cea28ffffff,22.96004,72.50972,12,113.2
8742cea28ffffff,22.96004,72.50972,13,94.5
8742cea28ffffff,22.96004,72.50972,14,77.3
8742cea28ffffff,22.96004,72.50972,15,74.4
8742cea28ffffff,22.96004,72.50972,16,70.8
8742cea28ffffff,22.96004,72.50972,17,67.4
8742cea28ffffff,22.96004,72.50972,18,63.9
8742cea28ffffff,22.96004,72.50972,19,58.4
8742cea28ffffff,22.96004,72.50972,20,68.5
8742cea28ffffff,22.96004,72.50972,21,114.1
8742cea28ffffff,22.96004,72.50972,22,131.0
8742cea28ffffff,22.96004,72.50972,23,120.2
8742cea28ffffff,22.96004,72.50972,24,115.6
8742cea28ffffff,22.96004,72.50972,25,85.5
8742cea28ffffff,22.96004,72.50972,26,83.9
8742cea28ffffff,22.96004,72.50972,27,73.0
8742cea28ffffff,22.96004,72.50972,28,75.8
8742cea28ffffff,22.96004,72.50972,29,71.5
8742cea28ffffff,22.96004,72.50972,30,68.4
8742cea28ffffff,22.96004,72.50972,31,63.5
8742cea28ffffff,22.96004,72.50972,32,66.6
8742cea28ffffff,22.96004,72.50972,33,105.1
8742cea28ffffff,22.96004,72.50972,34,135.6
8742cea28ffffff,22.96004,72.50972,35,110.5
8742cea28ffffff,22.96004,72.50972,36,116.8
8742cea28ffffff,22.96004,72.50972,37,126.1
8742cea28ffffff,22.96004,72.50972,38,79.9
8742cea28ffffff,22.96004,72.50972,39,69.5
8742cea28ffffff,22.96004,72.50972,40,69.6
8742cea28ffffff,22.96004,72.50972,41,74.7
8742cea29ffffff,22.96920,72.53131,0,136.4
8742cea29ffffff,22.96920,72.53131,1,109.5
8742cea29ffffff,22.96920,72.53131,2,102.7
8742cea29ffffff,22.96920,72.53131,3,75.5
8742cea29ffffff,22.96920,72.53131,4,64.1
8742cea29ffffff,22.96920,72.53131,5,57.2
8742cea29ffffff,22.96920,72.53131,6,60.0
8742cea29ffffff,22.96920,72.53131,7,61.0
8742cea29ffffff,22.96920,72.53131,8,67.4
8742cea29ffffff,22.96920,72.53131,9,112.9
8742cea29ffffff,22.96920,72.53131,10,133.2
8742cea29ffffff,22.96920,72.53131,11,113.1
8742cea29ffffff,22.96920,72.53131,12,113.2
8742cea29ffffff,22.96920,72.53131,13,94.5
8742cea29ffffff,22.96920,72.53131,14,77.3
8742cea29ffffff,22.96920,72.53131,15,74.4
8742cea29ffffff,22.96920,72.53131,16,70.8
8742cea29ffffff,22.96920,72.53131,17,67.4
8742cea29ffffff,22.96920,72.53131,18,63.9
8742cea29ffffff,22.96920,72.53131,19,58.4
8742cea29ffffff,22.96920,72.53131,20,68.5
8742cea29ffffff,22.96920,72.53131,21,114.1
8742cea29ffffff,22.96920,72.53131,22,131.0
8742cea29ffffff,22.96920,72.53131,23,120.2
8742cea29ffffff,22.96920,72.53131,24,115.6
8742cea29ffffff,22.96920,72.53131,25,85.5
8742cea29ffffff,22.96920,72.53131,26,83.9
8742cea29ffffff,22.96920,72.53131,27,73.0
8742cea29ffffff,22.96920,72.53131,28,75.8
8742cea29ffffff,22.96920,72.53131,29,71.5
8742cea29ffffff,22.96920,72.53131,30,68.4
8742cea29ffffff,22.96920,72.53131,31,63.5
8742cea29ffffff,22.96920,72.53131,32,66.6
8742cea29ffffff,22.96920,72.53131,33,105.1
8742cea29ffffff,22.96920,72.53131,34,135.6
8742cea29ffffff,22.96920,72.53131,35,110.5
8742cea29ffffff,22.96920,72.53131,36,116.8
8742cea29ffffff,22.96920,72.53131,37,126.1
8742cea29ffffff,22.96920,72.53131,38,79.9
8742cea29ffffff,22.96920,72.53131,39,69.5
8742cea29ffffff,22.96920,72.53131,40,69.6
8742cea29ffffff,22.96920,72.53131,41,74.7
8742cea2affffff,22.93967,72.50821,0,136.4
8742cea2affffff,22.93967,72.50821,1,109.5
8742cea2affffff,22.93967,72.50821,2,102.7
8742cea2affffff,22.93967,72.50821,3,75.5
8742cea2affffff,22.93967,72.50821,4,64.1
8742cea2affffff,22.93967,72.50821,5,57.2
8742cea2affffff,22.93967,72.50821,6,60.0
8742cea2affffff,22.93967,72.50821,7,61.0
8742cea2affffff,22.93967,72.50821,8,67.4
8742cea2affffff,22.93967,72.50821,9,112.9
8742cea2affffff,22.93967,72.50821,10,133.2
8742cea2affffff,22.93967,72.50821,11,113.1
8742cea2affffff,22.93967,72.50821,12,113.2
8742cea2affffff,22.93967,72.50821,13,94.5
8742cea2affffff,22.93967,72.50821,14,77.3
8742cea2affffff,22.93967,72.50821,15,74.4
8742cea2affffff,22.93967,72.50821,16,70.8
8742cea2affffff,22.93967,72.50821,17,67.4
8742cea2affffff,22.93967,72.50821,18,63.9
8742cea2affffff,22.93967,72.50821,19,58.4
8742cea2affffff,22.93967,72.50821,20,68.5
8742cea2affffff,22.93967,72.50821,21,114.1
8742cea2affffff,22.93967,72.50821,22,131.0
8742cea2affffff,22.93967,72.50821,23,120.2
