# Real soil chemistry + texture from ISRIC SoilGrids v2.0 (250 m, no key).
# Ahmedabad. zone = H3 res-7 cell id.
# Native SoilGrids scaling: phh2o = pH*10, sand/silt/clay = g/kg,
# soc = dg/kg, nitrogen = cg/kg. soil.py auto-unscales by magnitude.
zone,lat,lon,phh2o,sand,silt,clay,soc,nitrogen
8742ceb51ffffff,23.01201,72.49267,73.0,317.5,332.5,350.0,97.0,146.0
8742ceb52ffffff,22.98245,72.46958,72.5,306.0,351.5,343.0,103.0,145.0
8742ceb53ffffff,22.99162,72.49116,73.0,303.5,365.0,332.0,105.0,149.0
8742ceb54ffffff,23.01404,72.45099,73.0,347.5,352.5,300.0,93.5,127.0
8742ceb55ffffff,23.02322,72.47258,74.0,331.0,352.5,316.5,97.0,140.5
8742ceb5affffff,22.98958,72.53283,73.0,301.5,380.0,318.5,130.5,153.5
8742ceb5bffffff,22.99875,72.55442,74.0,304.5,375.5,320.5,118.0,150.5
8742ceb5cffffff,23.02118,72.51427,74.0,306.5,354.0,340.0,94.5,146.0
8742ceb60ffffff,23.09565,72.45699,74.0,325.0,351.0,324.0,91.0,144.0
8742ceb61ffffff,23.10484,72.4786,73.5,306.5,387.5,306.0,95.0,136.5
8742ceb62ffffff,23.07524,72.45549,74.0,315.0,385.0,300.0,99.5,141.0
8742ceb63ffffff,23.08443,72.4771,73.0,330.5,347.0,323.0,98.0,138.0
8742ceb65ffffff,23.11607,72.45849,74.0,330.0,361.0,309.0,97.0,148.0
8742ceb68ffffff,23.1028,72.52034,73.0,317.0,355.5,328.0,93.0,143.0
8742ceb69ffffff,23.11198,72.54196,74.0,321.5,369.5,309.0,100.5,147.5
8742ceb6affffff,23.08238,72.51882,73.0,336.5,331.5,332.0,90.5,143.5
8742ceb6bffffff,23.09156,72.54044,74.0,326.0,360.5,312.5,140.5,147.5
8742ceb6cffffff,23.11403,72.50023,74.0,311.5,391.0,297.5,102.0,143.0
8742ceb6dffffff,23.12322,72.52186,74.0,323.5,367.5,309.0,105.0,146.0
8742ceb6effffff,23.09361,72.49871,73.5,313.0,376.5,310.5,93.5,134.0
8742ceb71ffffff,23.05483,72.45399,75.0,317.0,394.0,289.0,99.0,139.5
8742ceb73ffffff,23.03443,72.45249,72.0,306.0,393.0,301.0,102.0,140.5
