# Real soil chemistry + texture from ISRIC SoilGrids v2.0 (250 m, no key).
# Delhi. zone = H3 res-7 cell id.
# Native SoilGrids scaling: phh2o = pH*10, sand/silt/clay = g/kg,
# soc = dg/kg, nitrogen = cg/kg. soil.py auto-unscales by magnitude.
zone,lat,lon,phh2o,sand,silt,clay,soc,nitrogen
873da1b8bffffff,28.76891,77.33401,81.0,456.5,316.0,227.0,72.5,89.0
873da1b8cffffff,28.79455,77.29231,81.0,442.0,325.5,233.0,82.5,101.5
873da1b8effffff,28.77275,77.28911,80.0,458.5,321.0,220.5,66.0,92.5
873da1b90ffffff,28.724,77.21378,77.5,481.0,338.5,181.0,79.5,89.0
873da1b91ffffff,28.73299,77.23782,81.0,483.0,329.5,188.0,73.5,90.0
873da1b93ffffff,28.7112,77.23463,77.0,453.5,343.0,204.0,91.0,108.5
873da1b95ffffff,28.74579,77.21696,78.0,471.5,337.0,191.0,73.5,94.0
873da1b96ffffff,28.715,77.18975,77.5,499.5,340.0,160.0,92.5,109.0
873da1b99ffffff,28.73815,77.30674,80.0,453.0,341.5,205.5,77.0,106.5
873da1b9bffffff,28.71636,77.30353,77.5,484.5,281.5,234.0,76.5,97.5
873da1b9cffffff,28.74197,77.26186,81.0,477.5,326.0,196.0,65.0,88.0
873da1b9effffff,28.72019,77.25866,77.0,511.5,293.5,195.0,74.0,88.0
873da1bb0ffffff,28.77138,77.17522,81.5,461.0,325.5,214.0,77.5,106.5
873da1bb1ffffff,28.78038,77.19927,84.5,443.5,338.5,218.0,74.5,104.5
873da1bb2ffffff,28.74958,77.17206,81.0,463.0,358.0,179.0,77.5,95.5
873da1bb3ffffff,28.75858,77.1961,81.5,461.0,342.5,196.0,80.5,104.5
873da1bb4ffffff,28.78418,77.15434,81.5,452.5,312.0,235.5,68.5,89.0
873da1bb5ffffff,28.79319,77.17839,81.5,452.0,325.5,222.5,95.0,128.0
873da1bb6ffffff,28.76238,77.15118,80.5,465.0,317.0,218.5,67.5,93.5
